SKILLS AUDIT REPORT
================================================================================

Total Skills : 654
KEEP         : 38
DELETE       : 608
REVIEW       : 8

KEEP
--------------------------------------------------------------------------------
[701] Agile | profile_usage=2 | offer_usage=0
[30] Ansible | profile_usage=0 | offer_usage=0
[662] API REST | profile_usage=2 | offer_usage=0
[673] Apps Script | profile_usage=2 | offer_usage=0
[5] Azure | profile_usage=1 | offer_usage=1
[694] Change Request | profile_usage=2 | offer_usage=0
[689] COGNOS | profile_usage=2 | offer_usage=0
[691] Confluence | profile_usage=2 | offer_usage=0
[682] CSS | profile_usage=2 | offer_usage=0
[699] Data mapping | profile_usage=2 | offer_usage=0
[7] Docker | profile_usage=0 | offer_usage=0
[693] Documentation | profile_usage=2 | offer_usage=0
[845] Excel | profile_usage=2 | offer_usage=0
[2] FastAPI | profile_usage=1 | offer_usage=1
[683] Google Appsheet | profile_usage=2 | offer_usage=0
[672] GraphQL | profile_usage=2 | offer_usage=0
[681] HTML | profile_usage=2 | offer_usage=0
[684] JavaScript | profile_usage=2 | offer_usage=0
[690] JIRA | profile_usage=2 | offer_usage=0
[6] Kubernetes | profile_usage=0 | offer_usage=1
[685] MongoDB | profile_usage=2 | offer_usage=0
[686] Node.js | profile_usage=2 | offer_usage=0
[844] Pivot Tables | profile_usage=2 | offer_usage=0
[3] PostgreSQL | profile_usage=1 | offer_usage=0
[677] Power Automate | profile_usage=2 | offer_usage=0
[674] Power Platform | profile_usage=2 | offer_usage=0
[676] PowerApps | profile_usage=2 | offer_usage=0
[680] PowerQuery | profile_usage=2 | offer_usage=0
[700] Process automation | profile_usage=2 | offer_usage=0
[1] Python | profile_usage=0 | offer_usage=1
[4] React | profile_usage=2 | offer_usage=0
[697] Regression | profile_usage=2 | offer_usage=0
[687] Salesforce | profile_usage=2 | offer_usage=0
[688] ServiceNow | profile_usage=2 | offer_usage=0
[692] Software testing | profile_usage=2 | offer_usage=0
[9] Terraform | profile_usage=0 | offer_usage=0
[696] UAT | profile_usage=2 | offer_usage=0
[679] VBA | profile_usage=2 | offer_usage=0


DELETE
--------------------------------------------------------------------------------
[846] 17/01/2022 | profile_usage=1 | offer_usage=0
[543] Docker_0029051b-b593-4c03-8cb1-b6c3d2873abd | profile_usage=0 | offer_usage=0
[526] Docker_0729d2a1-22d5-4607-a54e-14745207bbf4 | profile_usage=0 | offer_usage=0
[902] Docker_108b866e-4287-4e41-a2d3-458dc1ddbb85 | profile_usage=0 | offer_usage=0
[139] Docker_1fce3a9a-7a68-408e-b83f-eabccda4fb19 | profile_usage=0 | offer_usage=0
[25] Docker_265c6ea5-5b85-45e3-ad48-7c8ebac07090 | profile_usage=0 | offer_usage=0
[58] Docker_29dde498-834e-4c58-ab25-00656c41499a | profile_usage=0 | offer_usage=0
[475] Docker_2a70fb3b-8c8a-429a-b9e9-485732a79097 | profile_usage=0 | offer_usage=0
[799] Docker_2ad5adb9-7f46-4239-8656-417f5f6e8663 | profile_usage=0 | offer_usage=0
[67] Docker_2e4da464-d3da-4cbe-98a4-4b1be55218b7 | profile_usage=0 | offer_usage=0
[667] Docker_479891a3-bc84-48fa-b918-ef0bde065914 | profile_usage=0 | offer_usage=0
[819] Docker_52e28ec7-9255-42e6-aa0a-bf0aa2607af1 | profile_usage=0 | offer_usage=0
[121] Docker_5842c5fb-bdaa-4206-b79c-bff1c4f2fcf8 | profile_usage=0 | offer_usage=0
[492] Docker_5c8a5c76-3a06-45cc-ade7-26204d3f074e | profile_usage=0 | offer_usage=0
[190] Docker_5ec26c7a-1af3-4616-8038-4aea97c9eee1 | profile_usage=0 | offer_usage=0
[882] Docker_61c79814-2d1a-436e-b953-936330e3d8ee | profile_usage=0 | offer_usage=0
[862] Docker_63237a2a-b4d2-4706-b85b-80a5b549aa01 | profile_usage=0 | offer_usage=0
[719] Docker_648f7740-3723-4e42-9393-a1b2d5a5669d | profile_usage=0 | offer_usage=0
[779] Docker_67458ae3-0edb-493d-89a3-e340f79d62a3 | profile_usage=0 | offer_usage=0
[16] Docker_6f513894-34de-4406-a016-2f9d8e587807 | profile_usage=0 | offer_usage=0
[579] Docker_8569007d-b909-4be1-a915-6f33c7012bc9 | profile_usage=0 | offer_usage=0
[759] Docker_88932f64-a225-4f84-824e-b07690551e99 | profile_usage=0 | offer_usage=0
[156] Docker_9a8336c6-2449-49de-88e0-c32d157d80a0 | profile_usage=0 | offer_usage=0
[739] Docker_a51907dd-5e8a-4ccf-be29-6e29dffcff19 | profile_usage=0 | offer_usage=0
[103] Docker_b64831fd-3c52-4033-bdd4-390e19f5022a | profile_usage=0 | offer_usage=0
[130] Docker_bd8130b7-a469-4419-804a-aec76ef17dd6 | profile_usage=0 | offer_usage=0
[94] Docker_c26c56dd-a52f-44c9-9991-f2eeebc9b3f0 | profile_usage=0 | offer_usage=0
[40] Docker_c801c33a-f8b2-4723-9645-d347c4c993aa | profile_usage=0 | offer_usage=0
[839] Docker_cb6b5527-8ba2-4612-bebb-6f3bd9d528c0 | profile_usage=0 | offer_usage=0
[509] Docker_d215c3e7-fdcf-49aa-9835-2f5466f66d71 | profile_usage=0 | offer_usage=0
[615] Docker_d2f7cd43-e2f8-44c5-b29b-1fd475fbc786 | profile_usage=0 | offer_usage=0
[76] Docker_dbfdb473-68ba-4549-9da6-73762bd3d16a | profile_usage=0 | offer_usage=0
[561] Docker_dc575a93-d3db-4fed-b9ff-5230e74a548c | profile_usage=0 | offer_usage=0
[646] Docker_dfe23ff2-f300-4ca9-889c-793d33cd5ce3 | profile_usage=0 | offer_usage=0
[112] Docker_e507e018-8868-4724-a0f3-ecb3795d9912 | profile_usage=0 | offer_usage=0
[85] Docker_f14d71f5-d6f9-4c39-a6b6-c669ebfced98 | profile_usage=0 | offer_usage=0
[597] Docker_f6055fae-8f87-4b0a-9b89-2259841c6fd5 | profile_usage=0 | offer_usage=0
[922] Docker_f77db7e7-dd69-4271-8960-b5a5d65a81be | profile_usage=0 | offer_usage=0
[173] Docker_f8e79b95-c193-4cfe-ba4c-1c1f164d18c6 | profile_usage=0 | offer_usage=0
[49] Docker_f944ea64-531b-4cdb-bf8a-ff3a9cff0b8e | profile_usage=0 | offer_usage=0
[671] FastAPI_03a5ba97-fedf-4a4b-82b6-0e65e15dc9da | profile_usage=0 | offer_usage=0
[44] FastAPI_07e84a7b-a482-4a04-8c82-371d548c5197 | profile_usage=0 | offer_usage=0
[107] FastAPI_0a67b1ad-4567-439d-b3b8-1dc52699b5fe | profile_usage=0 | offer_usage=0
[763] FastAPI_0b9330c7-2d9c-4474-8285-0caf5e7e7ec2 | profile_usage=0 | offer_usage=0
[886] FastAPI_1ec69dc7-264b-49e6-a081-2d43cc14642e | profile_usage=0 | offer_usage=0
[743] FastAPI_2151ed32-fc17-4961-96fd-204cfb1a5126 | profile_usage=0 | offer_usage=0
[143] FastAPI_2a96227e-b477-4c33-bb14-b1e2f4acdb54 | profile_usage=0 | offer_usage=0
[601] FastAPI_2bef254a-3316-480d-ac11-303faf0a6cb0 | profile_usage=0 | offer_usage=0
[803] FastAPI_2e0c0783-9434-426e-9b97-6fbf3c363d8e | profile_usage=0 | offer_usage=0
[496] FastAPI_2f357694-4f33-49bf-b951-4671cc8eb024 | profile_usage=0 | offer_usage=0
[583] FastAPI_317c26a2-0cbd-42a6-84be-c3f849cef7eb | profile_usage=0 | offer_usage=0
[62] FastAPI_3b1c1699-867f-4632-84e9-92548f1f51a0 | profile_usage=0 | offer_usage=0
[134] FastAPI_47a47e40-ddba-415a-8d78-ce67919c2eff | profile_usage=0 | offer_usage=0
[565] FastAPI_4e2e43df-fed0-4522-b079-c99082e53005 | profile_usage=0 | offer_usage=0
[866] FastAPI_50999232-0716-484e-a97c-22e42588594c | profile_usage=0 | offer_usage=0
[21] FastApi_5718ce9a-80e6-404e-aada-74bab181c862 | profile_usage=0 | offer_usage=0
[160] FastAPI_5a8ea427-5a90-427a-802a-0b4a71fc6d29 | profile_usage=0 | offer_usage=0
[23] FastAPI_62385594-27e9-4b4a-bf81-5aae7750fce1 | profile_usage=0 | offer_usage=0
[843] FastAPI_64803d48-c4cc-4db2-a7c6-2f27cc453026 | profile_usage=0 | offer_usage=0
[53] FastAPI_65ae795c-89b3-4196-9231-3da1bebcd005 | profile_usage=0 | offer_usage=0
[80] FastAPI_65c5d545-b37f-4ea5-a810-81b044115710 | profile_usage=0 | offer_usage=0
[98] FastAPI_66ab0bd4-c43d-4884-b40e-e1dee2c5cc27 | profile_usage=0 | offer_usage=0
[547] FastAPI_75959a62-0e5f-4da9-8e08-d43cd37a642b | profile_usage=0 | offer_usage=0
[24] FastAPI_7bb1c43e-dd14-478c-aae5-c1e56ac0849a | profile_usage=0 | offer_usage=0
